Team1WinRate,Team1GoalsScored,Team1LastMatchResult,Team2WinRate,Team1GoalRatio,Team2GoalRatio,Team1GoalAgainstRatio,Team2GoalAgainstRatio,Team2GoalsScored,Team2LastMatchResult,Team1LeagueRanking,Team2LeagueRanking,Attendance,MatchStadium,Team1Formation,Team2Formation,Team1SuccessfulPassPercentage,Team2SuccessfulPassPercentage,Team1ShootRatio,Team2ShootRatio,Team1YellowCardNumber,Team2YellowCardNumber,Team1RedCardNumber,Team2RedCardNumber,Team1OffsideNumber,Team2OffsideNumber,Team1OffsidePerMatch,Team2OffsidePerMatch,Result
64,1,-2,44,2.25,2.03,1.06,1.69,1,-2,3,7,40096,Away,4-3-3,3-4-3,84.0,85.8,35.2,37.3,92,125,5,3,131,109,2.34,2.22,0
64,3,0,35,2.25,1.43,1.06,1.76,1,0,3,11,53145,Home,4-3-3,4-2-3-1,84.0,74.7,35.2,32.2,92,91,5,3,131,74,2.34,1.72,1
64,2,0,47,2.25,2.19,1.06,1.58,1,1,3,6,52214,Away,4-3-3,4-3-3,84.0,81.0,35.2,37.8,92,97,5,1,131,75,2.34,1.53,1
64,3,0,56,2.25,2.03,1.06,1.47,0,-1,3,4,50109,Home,4-3-3,4-4-2,84.0,83.8,35.2,37.3,92,132,5,3,131,57,2.34,1.06,1
64,3,0,35,2.25,1.35,1.06,1.7,1,-1,3,13,31257,Away,4-3-3,4-2-3-1,84.0,80.8,35.2,36.3,92,113,5,4,131,94,2.34,2.14,1
64,3,0,38,2.25,1.59,1.06,1.92,1,0,3,9,50136,Home,4-3-3,4-2-3-1,84.0,77.9,35.2,33.4,92,108,5,4,131,90,2.34,1.73,1
64,1,0,53,2.25,1.97,1.06,1.64,2,0,3,5,62001,Away,4-3-3,4-2-3-1,84.0,85.3,35.2,35.8,92,95,5,4,131,88,2.34,2.26,-1
64,2,0,33,2.25,1.5,1.06,1.61,2,1,3,10,31752,Away,4-3-3,4-2-3-1,84.0,87.1,35.2,34.9,92,115,5,3,131,98,2.34,2.04,0
64,2,0,35,2.25,1.05,1.06,1.32,0,-1,3,15,50201,Home,4-3-3,4-4-1-1,84.0,73.2,35.2,30.0,92,88,5,2,131,101,2.34,2.3,1
64,3,0,22,2.25,1.27,1.06,1.78,0,-1,3,17,50143,Home,4-3-3,5-4-1,84.0,75.8,35.2,31.2,92,94,5,3,131,91,2.34,2.12,1
64,1,0,16,2.25,1.35,1.06,2.19,1,-1,3,18,11049,Away,4-3-3,3-4-3,84.0,73.2,35.2,32.7,92,73,5,0,131,72,2.34,1.67,0
64,3,0,27,2.25,1.46,1.06,1.65,0,0,3,16,50151,Home,4-3-3,5-3-2,84.0,74.6,35.2,33.8,92,90,5,2,131,81,2.34,1.98,1
64,1,0,72,2.25,2.53,1.06,0.92,1,1,3,1,53289,Away,4-3-3,3-2-4-1,84.0,89.2,35.2,38.3,92,70,5,2,131,56,2.34,1.04,0
64,4,0,32,2.25,1.38,1.06,1.59,3,1,3,14,50124,Home,4-3-3,4-2-3-1,84.0,80.6,35.2,33.7,92,91,5,4,131,59,2.34,1.31,1
64,2,0,8,2.25,0.95,1.06,2.73,0,-1,3,20,31406,Away,4-3-3,3-4-3,84.0,70.5,35.2,32.7,92,103,5,5,131,62,2.34,1.55,1
64,2,0,32,2.25,1.41,1.06,1.57,1,1,3,12,25103,Away,4-3-3,4-3-3,84.0,77.1,35.2,35.8,92,78,5,2,131,75,2.34,1.83,1
64,0,0,46,2.25,1.49,1.06,1.57,0,1,3,8,57158,Home,4-3-3,4-2-3-1,84.0,80.7,35.2,34.2,92,101,5,4,131,107,2.34,2.18,0
64,1,0,72,2.25,2.44,1.06,0.78,1,1,3,2,57548,Home,4-3-3,4-3-3,84.0,84.8,35.2,32.5,92,79,5,2,131,102,2.34,2.0,0
64,2,0,14,2.25,1.08,1.06,2.05,0,-1,3,19,21624,Away,4-3-3,4-4-2,84.0,77.6,35.2,31.8,92,85,5,7,131,88,2.34,2.15,1
64,4,0,47,2.25,2.19,1.06,1.58,2,1,3,6,57471,Home,4-3-3,4-3-3,84.0,81.0,35.2,37.8,92,97,5,1,131,75,2.34,1.53,1
